Attraction,Tag 1,Tag 2,Tag 3,Tag 4,Description,,,
Willis Tower - Skydeck Chicago,Landmark/Historic,Iconic Chicago,,,"One hundred and three floors above the streets, visitors can see as far as 50 miles in all directions from the top of the iconic skyscraper. If you’re feeling brave, step out onto the Ledge—a glass cube suspended from the side of the building that will make you feel like you’re walking on air.",,,
Chinatown,Restaurants/Bars,Landmark/Historic,,,"With breathtaking architecture and an abundance of cultural attractions, Chinatown is one of Chicago's most exciting neighborhoods to explore. ",,,
The Field Museum,Museum/Gallery,Landmark/Historic,Iconic Chicago,,,,,
The Chicago Theatre,Show/Theater,Landmark/Historic,Nightlife,,,,,
Goodman Theatre,Show/Theater,Nightlife,Landmark/Historic,,,,,
Lincoln Park Zoo,Outdoors,Landmark/Historic,Museum/Gallery,Iconic Chicago,"See some 1,200 animals, from apes to zebras, at the oldest and one of only a few free zoos left in the country. It is small, only 35 acres, but is one of Chicago’s most iconic sites.",,,
Diversey Driving Range,Sports,Outdoors,,,,,,
Lakefront Trail,Outdoors,Sports,Iconic Chicago,,"Take in some amazing views of Lake Michigan along the 18-mile Lakefront Trail. Run, bike or walk along the path, which connects attractions like the Museum Campus, Belmont Harbor, McCormick Place and most of the city’s beaches.",,,
Second City,Show/Theater,Nightlife,Landmark/Historic,Iconic Chicago,,,,
Oriental Institute Museum,Museum/Gallery,,,,,,,
Oriental Theatre,Show/Theater,Nightlife,Landmark/Historic,,,,,
Kingston Mines,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Buckingham Fountain,Outdoors,Landmark/Historic,,,,,,
United Center,Sports,Nightlife,Iconic Chicago,,"If you want to see the Bulls or the Blackhawks, you’ll need to make a trip to this sprawling Near West Side sports arena. When it’s not hosting hockey or basketball, it’s the venue of choice for gigantic touring acts like Beyoncé and Lady Gaga.",,,
Garfield Park Conservatory,Museum/Gallery,Landmark/Historic,,,"Described as “landscape art under glass” when it opened in 1908, the Garfield Park Conservatory is one of the largest of its kind in the nation. Inside, visitors will find 120,000 plants spread across 1.6 acres. A popular rain-or-shine destination for nature lovers, the conservatory hosts seasonal flower shows as well as occasional concerts and events.",,,
Shedd Aquarium,Museum/Gallery,Landmark/Historic,Iconic Chicago,,,,,
Joffrey Ballet of Chicago,Show/Theater,Nightlife,Landmark/Historic,,,,,
Lincoln Park Conservatory,Museum/Gallery,Landmark/Historic,,,,,,
Graceland Cemetery,Landmark/Historic,Outdoors,,,,,,
Crown Fountain,Outdoors,,,,"This video sculpture, which features a rotating display of local faces, is located next to many of Chicago’s top attractions in Millennium Park. In the warmer months, the fountain allows visitors a chance to cool off.",,,
Southport Lanes,Restaurants/Bars,Nightlife,Sports,,,,,
Chicago History Museum,Museum/Gallery,Landmark/Historic,,,,,,
Blue Chicago,Show/Theater,Nightlife,,,,,,
Architecture Boat Tour,Show/Theater,Outdoors,Iconic Chicago,,,,,
Maggie Daley Park,Outdoors,,,,,,,
B.L.U.E.S.,Restaurants/Bars,Show/Theater,Nightlife,,,,,
Chicago Water Taxi,Outdoors,,,,,,,
Chicago Children's Museum,Museum/Gallery,,,,,,,
Buddy Guy's Legends,Show/Theater,Restaurants/Bars,Nightlife,,,,,
Portillo’s,Restaurants/Bars,,,,,,,
Grant Park,Outdoors,Show/Theater,Iconic Chicago,,,,,
Tribune Tower,Landmark/Historic,,,,,,,
Michigan Avenue Bridge,Landmark/Historic,,,,,,,
Water Tower Place,Shopping,Landmark/Historic,Restaurants/Bars,Iconic Chicago,,,,
Billy Goat Tavern,Restaurants/Bars,Iconic Chicago,Landmark/Historic,,,,,
The Mercury Theater,Show/Theater,Nightlife,,,,,,
Robie House,Museum/Gallery,Landmark/Historic,,,,,,
Harold Washington Library Center,Museum/Gallery,Landmark/Historic,,,,,,
Chicago Distilling Company,Restaurants/Bars,Nightlife,,,,,,
Lagunitas Taproom,Restaurants/Bars,Nightlife,,,,,,
Pequod’s Pizza,Restaurants/Bars,,,,,,,
University of Chicago,Landmark/Historic,,,,,,,
Chicago Riverwalk,Outdoors,Landmark/Historic,,,,,,
Cadillac Palace Theatre,Show/Theater,Nightlife,Landmark/Historic,,,,,
Old Town Ale House,Restaurants/Bars,Nightlife,Landmark/Historic,,,,,
US Cellular Field,Sports,Outdoors,Iconic Chicago,,"Located on Chicago's south side, U.S. Cellular Field is home to the 2005 World Series Champions. More modern and spacious than Wrigley, it also offers creative stadium fare like bacon on a stick and chicken and waffle sandwiches.",,,
Navy Pier,Outdoors,Restaurants/Bars,Museum/Gallery,Iconic Chicago,"This tourist hot spot features shops, eateries, an IMAX cinema and sightseeing boat tours. The 150-foot-high Ferris wheel is one its most popular attractions, but you can also find the Chicago Children's Museum and a rotating roster of live entertainment on the Family Pavilion Stage.",,,
House of Blues Chicago,Show/Theater,Nightlife,Restaurants/Bars,,,,,
National Museum of Mexican Art,Museum/Gallery,,,,,,,
The Rookery,Landmark/Historic,,,,,,,
Signature Lounge,Restaurants/Bars,Landmark/Historic,,,,,,
Picasso Statue,Museum/Gallery,Landmark/Historic,Outdoors,,,,,
Macy's on State Street,Shopping,Landmark/Historic,,,,,,
Harold’s Chicken Shack,Restaurants/Bars,Landmark/Historic,,,,,,
Soldier Field,Sports,Show/Theater,Outdoors,Iconic Chicago,"During football season, Soldier Field is the perfect place to tailgate and catch a game. Opened in 1924, it is the oldest NFL stadium. During the offseason, it serves as one of Chicago’s largest concert venues.",,,
Oak Street Beach,Outdoors,Restaurants/Bars,Iconic Chicago,,,,,
Wrigley Building,Landmark/Historic,,,,,,,
The ComedySportz Theatre,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Royal George Theater,Show/Theater,Nightlife,,,,,,
The Peggy Notebaert Nature Museum,Museum/Gallery,,,,"Take a trip to Lincoln Park, where visitors can learn about the natural world at the Peggy Notebaert Nature Museum. Outside, a series of nature trails take explorers past a lagoon and a prairie garden, while indoor attractions include interactive ecosystems and the 2,700-square-foot Judy Istock Butterfly Haven.",,,
Andy's Jazz Club,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Museum of Contemporary Art,Museum/Gallery,,,,,,,
Adler Planetarium,Museum/Gallery,Landmark/Historic,,,,,,
Money Museum at the Federal Reserve Bank,Museum/Gallery,,,,,,,
Rosa's Lounge,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Newberry Library,Museum/Gallery,Landmark/Historic,,,,,,
Blackbird Restaurant,Restaurants/Bars,Nightlife,,,,,,
Apollo Theater Chicago,Show/Theater,Nightlife,Landmark/Historic,,,,,
Briar Street Theatre,Show/Theater,Nightlife,,,,,,
Al’s Beef,Restaurants/Bars,Landmark/Historic,Iconic Chicago,,,,,
Victory Gardens Theater,Show/Theater,Nightlife,,,,,,
Anteprima,Restaurants/Bars,,,,,,,
Green Mill,Restaurants/Bars,Nightlife,Landmark/Historic,Iconic Chicago,,,,
Sidetrack,Restaurants/Bars,Nightlife,,,,,,
Court Theater,Show/Theater,Nightlife,,,,,,
Ohio Street Beach,Outdoors,Sports,,,,,,
Harris Theater,Show/Theater,Nightlife,,,,,,
Big Star,Restaurants/Bars,Nightlife,,,,,,
Wasabi,Restaurants/Bars,,,,,,,
Bridge House Tavern,Restaurants/Bars,,,,,,,
UP Comedy Club,Shopping,Nightlife,Restaurants/Bars,,,,,
International Museum of Surgical Science,Museum/Gallery,,,,,,,
TimeLine Theatre,Show/Theater,Nightlife,,,,,,
Alfred Caldwell Lily Pool,Outdoors,Landmark/Historic,Museum/Gallery,,,,,
Revolution Brewery,Restaurants/Bars,Nightlife,,,,,,
Intuit: The Center for Intuitive and Outsider Art,Museum/Gallery,,,,,,,
Glazed & Infused,Restaurants/Bars,,,,,,,
ImprovOlympic,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Black Ensemble Theatre,Show/Theater,Nightlife,,,,,,
Celtic Crossings,Restaurants/Bars,Nightlife,,,,,,
Theater Wit,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Lula Cafe,Restaurants/Bars,,,,,,,
DuSable Museum of African American History,Museum/Gallery,,,,,,,
Terzo Piano,Restaurants/Bars,Museum/Gallery,,,,,,
Metropolis Coffee Company,Restaurants/Bars,,,,,,,
Southport Grocery & Cafe,Restaurants/Bars,,,,,,,
Fine Arts Building,Landmark/Historic,Museum/Gallery,,,,,,
Bakin’ & Eggs,Restaurants/Bars,,,,,,,
Bank of America Theatre,Show/Theater,Nightlife,Landmark/Historic,,,,,
North Pond,Restaurants/Bars,,,,,,,
Flamingo Sculpture,Museum/Gallery,Outdoors,Landmark/Historic,,,,,
Chicago Board of Trade Building,Landmark/Historic,,,,,,,
The Violet Hour,Restaurants/Bars,Nightlife,,,,,,
The McCormick Bridgehouse & Chicago River Museum,Museum/Gallery,Landmark/Historic,,,,,,
Randolph Street Market,Shopping,Outdoors,Restaurants/Bars,,,,,
Headquaters Beercade,Restaurants/Bars,Nightlife,,,,,,
The Map Room,Restaurants/Bars,Nightlife,,,,,,
Half Acre Beer Company,Restaurants/Bars,Nightlife,,,,,,
Gorilla Tango Theatre,Show/Theater,Nightlife,,,,,,
Milton Lee Olive Park,Outdoors,Sports,,,,,,
French Market,Restaurants/Bars,,,,,,,
Smart Museum of Art,Museum/Gallery,,,,,,,
Cafe Brauer,Restaurants/Bars,Landmark/Historic,,,,,,
Lincoln Hall,Show/Theater,Nightlife,Restaurants/Bars,,,,,
North Avenue Beach,Outdoors,Sports,,,,,,
Jane Addams' Hull-House Museum,Museum/Gallery,Landmark/Historic,,,,,,
Zanies Comedy Club,Show/Theater,Nightlife,Restaurants/Bars,,,,,
Art Institute of Chicago,Museum/Gallery,Landmark/Historic,Restaurants/Bars,Iconic Chicago,,,,
KOVAL Distillery,Restaurants/Bars,,,,,,,
Udupi Palace,Restaurants/Bars,,,,A trip to Chicago’s “Little India” will be well worth it. Udupi is one of the many gems on Devon Avenue that specializes in southern Indian dishes. Vegetarian dishes only.,,,
Floriole Cafe & Bakery,Restaurants/Bars,,,,"Deemed one of Chicago’s best bakeries, this Lincoln Park shop offers a rotating menu of French pastries, bread, sandwiches and salads. A perfect spot to grab breakfast or lunch.",,,
RPM Italian,Restaurants/Bars,,,,"A trendy, upscale restaurant by reality TV stars Bill & Giuliana Rancic. The River North spot, which offers modern Italian fare, is a place to see and be seen.",,,
Au Cheval,Restaurants/Bars,,,,"An upscale diner in Chicago’s West Loop offering dishes from omelettes to foie gras. Its cheeseburger, however, is known as one of the best in the city.",,,
Aragon Ballroom,Show/Theater,Nightlife,Landmark/Historic,,,,,
Brimfield,Shopping,,,,,,,
Gather Home & Lifestyle,Shopping,,,,,,,
Underground,Nightlife,Restaurants/Bars,,,,,,
Paris Club Bistro & Bar,Nightlife,Restaurants/Bars,,,,,,
Three Dots & a Dash,Restaurants/Bars,Nightlife,,,,,,
The Aviary,Restaurants/Bars,Nightlife,,,,,,
The Mid,Nightlife,Show/Theater,,,,,,
Emporium,Restaurants/Bars,Nightlife,,,"With two locations in Wicker Park and Logan Square, this bar has nearly 40 arcade games, two dozen rotating craft beers and over 50 whiskeys. The Logan Square spot also has pool tables.",,,
